Name,Followers,Country,Average Authentic,Average Engagement
alex_reinhardt_official,5.1M,Russia,21.9K,40.3K
moweber,207.7K,Germany,169.8K,203.6K
growingannanas,1.5M,United States,18.1K,23.1K
lino_1604,216.5K,Germany,100K,119.5K
antoniaelena.official,1.1M,Germany,17.7K,22.5K
florin_offiziel_catuna,1.1M,Germany,7.4K,14.1K
tatjanasprbr_kangoojumps,61.2K,Germany,99.1K,110.9K
dr.tsokos,624.7K,Germany,6.2K,7K
laschakv1,170.4K,Germany,19K,20.8K
timmschinabeck,287.8K,Germany,11.2K,15.6K
pauline_schaefer,182.3K,Germany,13.2K,17.3K
tactical_k9_family,393.3K,United States,4.6K,6K
mymiapage,309.9K,Germany,5.6K,7.3K
bodoschaefer,463.3K,Germany,3.3K,3.6K
nadine.spth,140.4K,Germany,9.9K,11.3K
karimu_samuels,512K,Germany,2.7K,3.7K
dominik.pbl,100.9K,Germany,14K,21.8K
hannah_meul,174.5K,Germany,6.8K,8K
bild_fcbayern,260.6K,Germany,3.9K,4.7K
thegodfatherofdogs,726.7K,Germany,1.4K,2.8K
badteacherrr__,184.5K,Germany,4.8K,5.6K
beatseb,170.2K,Germany,5.5K,8.6K
alemanicia,372K,Germany,2.2K,2.9K
anastasiarchwani,35.5K,Germany,27K,35.8K
coach.francisco.bata,252.7K,Germany,3.7K,8K
timmaelzer_official,590.6K,Germany,1.3K,1.5K
fitmitkev,591.1K,Germany,1.4K,1.7K
crackingchris,401.3K,Germany,1.9K,2.4K
senadgashi_official,746.2K,Germany,1K,2.2K
ramon_limacher,151K,Germany,4.3K,5.3K
sgdynamodresden,161.8K,Germany,3.6K,4K
julia_krajewski,63.1K,Germany,10K,12.4K
pichler.herbert,178.3K,Germany,3.6K,8.2K
goalkeeperdepartment1_gkd,51.8K,Germany,9.6K,12.5K
keep_clean_sheet,18.8K,Germany,20.4K,30.9K
psychologin_lindaleinweber,230.6K,Germany,1.8K,2.1K
laufraum,136.9K,Germany,2.6K,3.7K
coach_aaron_official,231.3K,Germany,1.5K,2.4K
koerperwandel,222.4K,Germany,1.4K,1.6K
theorganized.de,245.8K,Germany,1.5K,1.8K
adelinazilai,134.4K,Germany,2.8K,6.4K
leni_runner,274.6K,Germany,1.2K,1.4K
valentinsemler,59.1K,Germany,5.5K,6.7K
luisamuskelmensch,124.8K,Germany,2.4K,3.8K
t1tan,159.2K,Germany,1.8K,2.1K
palinapaleeva,257K,Germany,1.1K,1.6K
nataliavogel_,111.8K,Germany,2.5K,3.4K
coach_mesut,240.9K,Germany,1.1K,1.3K
justusgoalkeepers,220.6K,Germany,1.2K,1.4K
bossofoutlaw,110.1K,Germany,2.5K,3.1K
ringlife_edmon,156.1K,Germany,14.6K,16.8K
dustin_schoene,123.6K,Germany,12.3K,15.4K
crackingchris,401.3K,Germany,1.9K,2.4K
anna_hafner_,153.6K,Germany,4.5K,5.7K
nikguehrs,114.9K,Germany,4.6K,5.7K
wigaldboning,172.1K,Germany,2.9K,3.5K
leoniebeckswim,114.5K,Germany,3.6K,4.8K
sebastiansurfs,312.2K,United States,897,1.2K
g.tailor25,68.4K,Germany,4.2K,6.9K
claudiadarga,198.9K,Germany,1.1K,1.7K
elfenrosengarten,173.6K,Germany,1.3K,1.5K
jana_azizi,171.2K,Germany,1.3K,1.7K
joshi_bln,91.2K,Germany,2.4K,2.6K
borisherrmannracing,120.4K,Germany,1.7K,2K
pohlnathalie,100.3K,Germany,2.1K,2.7K
garneliode,253.4K,Germany,756,896
tobiasekvalls,79.7K,Germany,2.3K,2.7K
nays_baits,62.5K,Germany,2.9K,3.4K
tri.anne.haug,105.7K,Germany,1.7K,2K
sendtwitchhd,169.8K,Austria,954,1K
sandi_fishing,39.6K,Germany,4.5K,6K
joliejanine,233.8K,Germany,733,1.2K
seenotretter,70.8K,Germany,2.1K,2.3K
pablobasscobar,68.1K,Germany,2.1K,2.3K
thermeerding,186K,Germany,743,929
ben_versemann,111.7K,Germany,1.3K,1.6K
skrim_watercolors,177.3K,Germany,800,958
aqua_kappa,126.8K,Germany,1.1K,1.2K
early_bird_swimmers,40.8K,Germany,3K,3.6K
flo.swim,63.5K,Germany,1.9K,3.7K
nico_ger7,43.7K,Germany,2.7K,3.1K
ichgehangeln,108.1K,Germany,967,1.1K
mannheimer.memes,38K,Germany,2.7K,3.4K
aquagoekhan,28.8K,Germany,3.9K,4.6K
kampfschwimmer_eckernfoerde,44.5K,Germany,2K,2.4K
jmeier.png,32K,Germany,2.5K,3.3K
luca_hh_offishal,103.5K,Germany,815,1K
praepsports,28.9K,Germany,3.1K,4.3K
karateinsights,109.1K,Germany,696,781
felixpinedoo,43.3K,Germany,1.7K,2K
tisecustomdesign,50.9K,Germany,1.4K,1.5K
stefan_seuss_fishing,75.3K,Germany,843,978
sarafishgal,46.2K,Germany,1.4K,1.7K
richardhinsberger,176.9K,Germany,338,399
harz_fishing,63.8K,Germany,989,1.3K
dlrg,43.7K,Germany,1.3K,1.4K
_nicolor_painting,52.8K,Germany,1.1K,1.2K
marfishing82,32.8K,Germany,1.8K,2.2K
team_malizia,67.6K,Germany,784,941
steffenhambsch,35.5K,Germany,1.6K,2.1K
richarlison,22.8M,Brazil,392.2K,551.7K
sergegnabry,3M,Germany,52.5K,66.5K
emrecan23,3.2M,Germany,47.2K,57.4K
endowataru,1.2M,Japan,98.3K,112.4K
markusruehl,1.1M,Germany,58.5K,67.8K
nico.schlotterbeck,508K,Germany,86.6K,98.6K
omarmarmoush7,1.1M,Egypt,35K,42.3K
gregorkobel,608K,Germany,46.5K,54.9K
giuliagwinn,616.7K,Germany,41.1K,51.5K
kevintrapp,1.8M,Germany,10.9K,18.3K
upamecano,1.1M,Germany,21.1K,26.6K
sebastien.haller,1.2M,Germany,19.7K,23.4K
lena_oberdorf,391.8K,Germany,31.1K,43.4K
jessica_von_bredow_werndl,402.8K,Germany,29.1K,32.9K
nicoceps,677.1K,Germany,17.7K,23.6K
mvg180,538.1K,Germany,17.3K,20K
breelembolo97,445.2K,Germany,18.6K,32.2K
nico_spedicato,337.2K,Germany,25K,32.6K
lotharmatthaus10,537K,Germany,14.4K,19.8K
guirassy19off,291.3K,Germany,25.3K,33.4K
oliverkahn,1.3M,Germany,6.2K,7.9K
agitkabayel,322K,Germany,21.4K,32.6K
felix_neureuther,562.8K,Germany,10.1K,11.5K
jan.schlappen,381.6K,Germany,14.3K,16.8K
wibmergabriel,500.1K,Germany,8.7K,10.3K
laurafreigang,196.3K,Germany,19.7K,26.7K
teamfk,1.7M,Germany,1.7K,2.5K
pauline_schaefer,182.3K,Germany,13.2K,17.3K
wiebkelueh,249.3K,Germany,9.6K,12.4K
merlefrohms,189.7K,Germany,10.8K,15.2K
kidrob08,186.1K,Germany,11.3K,13.1K
michaeljungofficialnews,112.9K,Germany,18K,19.8K
lisa_buckwitz,506.9K,Germany,3.9K,5.5K
liaundalfi,305.2K,Germany,5.5K,7K
stephanpuetz,186.1K,Germany,9.4K,10.9K
johannes_vetter,216.2K,Germany,6.9K,8.5K
selinacerci,131.9K,Germany,11.1K,15.1K
benedikt.sigmund,38.6K,Germany,36.8K,47.2K
ginalueckenkemper,224.1K,Germany,5.6K,9.1K
bergfexn,65.4K,Germany,20.2K,26.1K
jonas_deichmann,285.5K,Germany,4K,4.4K
buehlklara,133.3K,Germany,8.9K,11.8K
bro_sep,182.3K,Germany,6.4K,7.3K
sara.daebritz13,221.3K,Germany,5.1K,8.6K
hannah_meul,174.5K,Germany,6.8K,8K
murtanio,107.6K,Germany,10.2K,12K
erik_fedko,174.4K,Germany,5.9K,6.9K
williorban4,131.7K,Germany,7.5K,8.6K
janfrodeno,564.4K,Germany,1.8K,2.2K
petergulacsi,201.8K,Germany,4.8K,7K
evgenyvinokurov,59K,Germany,4.3K,6.3K
johndegenkolb,157.1K,Germany,1.5K,2.6K
einenschrittweiter,89K,Germany,2.6K,2.9K
lea.banasch,105.4K,Germany,2.2K,2.5K
klarahanstein.fuerkopfundherz,136.2K,Germany,1.7K,2K
happydings,172.3K,Germany,1.3K,1.6K
deutscherturnerbund,56.5K,Germany,3.8K,4.1K
lewinhahne,192.8K,Germany,913,1K
einetuetedeutsch,176.5K,Germany,1K,1.2K
psycarella,62.3K,Germany,2.6K,2.9K
learngermanworldwide,54.6K,Germany,3.3K,5.7K
doguniversity.de,148.7K,Germany,1.1K,1.2K
erklaerungsnot,91.1K,Germany,1.8K,2.8K
visionpflege,96.4K,Germany,1.6K,1.7K
ellen_marques_dogs,75.2K,Germany,2.1K,2.6K
seppmaurer,109.4K,Germany,1.5K,1.8K
heiko_kallbach,95.4K,Germany,1.6K,2.1K
klarafuchs,129K,Germany,1.3K,1.5K
bischoffch,202.4K,Germany,737,832
kainz.florian,58K,Germany,2.7K,3.1K
medilearnde,73.3K,Germany,1.9K,2.1K
mabe_fire112,56.1K,Germany,2.6K,3.1K
frau_propeller,79.4K,Germany,1.7K,2K
mathemitnick,263.4K,Germany,503,572
_memo_an_mich_,109.9K,Germany,1.2K,1.3K
achtsamkeitsakademie.de,95.9K,Germany,1.4K,1.5K
danielotmar,139.3K,Germany,918,1.1K
iron_mike69,112.3K,Germany,1.2K,1.4K
psychologin.nele,97.5K,Germany,1.4K,1.8K
hundetrainerin_sabrina,104.6K,Germany,1.1K,1.3K
hd_demir,1.1M,Turkey,94,176
elifcanbulat_,108.7K,Germany,1.1K,1.8K
gerald_huether,73.5K,Germany,1.6K,1.8K
svw07_official,72.7K,Germany,1.4K,1.6K
doctor.nino,37.1K,Germany,3.4K,7.1K
diepsychotherapeutin,55.2K,Germany,1.8K,2.1K
franziska_lohberger,208.8K,Germany,509,677
let.s.talk.mental,73K,Germany,1.2K,1.4K
hauptstadttrainer,87.3K,Germany,1.1K,1.7K
dominicnathanaelerhart,41.4K,Germany,2.1K,2.3K
eyad.alchaer,93.8K,Germany,1K,1.8K
learnhandball,55.6K,Germany,1.5K,1.7K
asklepiosklinikbadsobernheim,74.8K,Germany,1K,1.2K
dr_stotz_kinderpsychologie,156K,Germany,558,712
bnf_athletics,60.1K,Germany,1.2K,1.5K
seideinzuhause,136.4K,Germany,524,646
huseyin_cozmez,130.5K,Germany,581,954
